threads,batchsize,time[ms]
16,1,4
16,16,7
16,32,11
16,64,15
16,128,24
16,256,22
16,512,36
16,1024,66
16,2048,125
16,4096,254
16,8192,550
16,16384,1127
1,1,5
1,16,7
1,32,10
1,64,17
1,128,23
1,256,19
1,512,35
1,1024,66
1,2048,122
1,4096,236
1,8192,507
1,16384,1032
2,1,5
2,16,7
2,32,10
2,64,27
2,128,23
2,256,19
2,512,33
2,1024,67
2,2048,126
2,4096,233
2,8192,499
2,16384,1049
4,1,4
4,16,7
4,32,9
4,64,16
4,128,23
4,256,26
4,512,35
4,1024,64
4,2048,133
4,4096,306
4,8192,463
4,16384,995
8,1,5
8,16,7
8,32,10
8,64,14
8,128,24
8,256,22
8,512,38
8,1024,87
8,2048,130
8,4096,241
8,8192,557
8,16384,1017
