threads,batchsize,time[ms]
16,1,245643
16,16,314647
16,32,383714
16,64,509552
16,128,764194
16,256,247697
16,512,424690
16,930,714917
1,1,241417
1,16,307804
1,32,373129
1,64,496319
1,128,746413
1,256,236515
1,512,423373
1,930,720267
2,1,242188
2,16,309736
2,32,370367
2,64,494823
2,128,742154
2,256,236432
2,512,421604
2,930,711932
4,1,242078
4,16,314717
4,32,374825
4,64,502963
4,128,761703
4,256,242589
4,512,425194
4,930,719799
8,1,244513
8,16,311094
8,32,378960
8,64,506063
8,128,771140
8,256,244661
8,512,423300
8,930,718423
