threads,batchsize,time[ms]
16,1,108720
16,16,158891
16,32,206226
16,64,303291
16,128,460851
16,256,181628
16,512,360189
16,930,659340
1,1,112419
1,16,186240
1,32,235006
1,64,298083
1,128,478481
1,256,183351
1,512,370794
1,930,642874
2,1,110338
2,16,167590
2,32,220191
2,64,282674
2,128,518869
2,256,180540
2,512,360206
2,930,650476
4,1,117541
4,16,157378
4,32,204109
4,64,312649
4,128,473630
4,256,183274
4,512,355474
4,930,655903
8,1,100343
8,16,180099
8,32,212582
8,64,293208
8,128,461604
8,256,180595
8,512,368018
8,930,640978
