threads,batchsize,time[ms]
16,1,6
16,16,10
16,32,16
16,64,37
16,128,40
16,256,45
16,512,70
16,1024,125
16,2048,250
16,4096,432
16,8192,731
16,16384,1397
1,1,7
1,16,12
1,32,15
1,64,23
1,128,40
1,256,43
1,512,77
1,1024,130
1,2048,201
1,4096,417
1,8192,728
1,16384,1353
2,1,6
2,16,12
2,32,17
2,64,24
2,128,39
2,256,40
2,512,75
2,1024,126
2,2048,202
2,4096,439
2,8192,712
2,16384,1309
4,1,6
4,16,8
4,32,15
4,64,22
4,128,40
4,256,41
4,512,79
4,1024,114
4,2048,199
4,4096,433
4,8192,723
4,16384,1295
8,1,6
8,16,12
8,32,16
8,64,23
8,128,32
8,256,42
8,512,81
8,1024,118
8,2048,203
8,4096,453
8,8192,779
8,16384,1308
