power.limit [W], power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
149.00, 63.61, 7, 0, 12205, 357, 11848
149.00, 63.61, 16, 1, 12205, 358, 11847
149.00, 63.61, 16, 1, 12205, 359, 11846
149.00, 63.61, 16, 1, 12205, 361, 11844
149.00, 63.72, 16, 1, 12205, 362, 11843
149.00, 63.72, 16, 1, 12205, 364, 11841
149.00, 63.72, 16, 1, 12205, 365, 11840
149.00, 63.72, 16, 1, 12205, 367, 11838
149.00, 63.72, 16, 1, 12205, 368, 11837
149.00, 63.72, 16, 1, 12205, 370, 11835
149.00, 63.72, 16, 1, 12205, 371, 11834
149.00, 63.72, 16, 1, 12205, 376, 11829
149.00, 63.72, 16, 1, 12205, 376, 11829
149.00, 75.08, 16, 1, 12205, 376, 11829
149.00, 75.08, 16, 1, 12205, 376, 11829
149.00, 75.08, 16, 1, 12205, 376, 11829
149.00, 75.08, 37, 6, 12205, 376, 11829
149.00, 75.08, 37, 6, 12205, 376, 11829
149.00, 75.08, 37, 6, 12205, 376, 11829
149.00, 75.08, 37, 6, 12205, 376, 11829
149.00, 75.08, 37, 6, 12205, 376, 11829
149.00, 75.08, 37, 6, 12205, 376, 11829
149.00, 101.96, 37, 6, 12205, 376, 11829
149.00, 101.96, 37, 6, 12205, 376, 11829
149.00, 101.96, 37, 6, 12205, 376, 11829
149.00, 101.96, 37, 6, 12205, 376, 11829
149.00, 101.96, 37, 6, 12205, 376, 11829
149.00, 101.96, 37, 6, 12205, 376, 11829
149.00, 101.96, 37, 6, 12205, 376, 11829
149.00, 101.96, 37, 6, 12205, 376, 11829
149.00, 101.96, 37, 6, 12205, 376, 11829
149.00, 113.27, 100, 22, 12205, 376, 11829
