***vgg16_iter_test Benchmarking***
Usage ./run_gpu_vgg16_iter_test.sh <typeofgpu> --> e.g: ./run_gpu_vgg16_iter_test.sh geforce_gtx_maxwell
**batch size 1**
****GPU Data (iteration time in ms)****	
1 407.63282775879 ms	
2 1.0819435119629 ms	
3 1.0900497436523 ms	
4 1.0449886322021 ms	
5 1.0449886322021 ms	
6 1.0228157043457 ms	
7 0.97894668579102 ms	
8 0.99897384643555 ms	
9 0.98085403442383 ms	
10 0.97298622131348 ms	
11 0.9760856628418 ms	
12 0.99420547485352 ms	
13 0.97894668579102 ms	
14 0.96702575683594 ms	
15 0.97393989562988 ms	
16 0.99802017211914 ms	
17 0.97107887268066 ms	
18 0.98705291748047 ms	
19 2.1040439605713 ms	
20 7.9760551452637 ms	
21 7.9958438873291 ms	
22 8.0149173736572 ms	
23 7.9278945922852 ms	
24 7.9641342163086 ms	
25 7.9700946807861 ms	
26 8.0127716064453 ms	
27 7.9910755157471 ms	
28 8.0101490020752 ms	
29 8.0440044403076 ms	
30 8.0268383026123 ms	
31 7.9200267791748 ms	
32 7.9319477081299 ms	
33 7.9810619354248 ms	
34 7.9391002655029 ms	
35 7.957935333252 ms	
36 8.0389976501465 ms	
37 7.9739093780518 ms	
38 7.9681873321533 ms	
39 8.0330371856689 ms	
40 7.9059600830078 ms	
41 7.9419612884521 ms	
42 8.0051422119141 ms	
43 7.9340934753418 ms	
44 8.0299377441406 ms	
45 8.0602169036865 ms	
46 7.965087890625 ms	
47 8.0330371856689 ms	
48 7.9629421234131 ms	
49 8.0130100250244 ms	
50 7.9860687255859 ms	
51 8.0020427703857 ms	
52 7.9419612884521 ms	
53 7.9867839813232 ms	
54 7.9858303070068 ms	
55 7.9951286315918 ms	
56 7.9610347747803 ms	
57 8.0320835113525 ms	
58 8.0389976501465 ms	
59 7.9700946807861 ms	
60 7.9529285430908 ms	
61 7.9600811004639 ms	
62 7.9569816589355 ms	
63 7.9989433288574 ms	
64 7.9729557037354 ms	
65 7.9929828643799 ms	
66 7.9810619354248 ms	
67 8.0142021179199 ms	
68 8.0239772796631 ms	
69 8.0180168151855 ms	
70 7.9679489135742 ms	
71 7.9569816589355 ms	
72 7.9669952392578 ms	
73 7.9457759857178 ms	
74 8.0008506774902 ms	
75 7.9989433288574 ms	
76 7.9860687255859 ms	
77 8.0380439758301 ms	
78 7.9829692840576 ms	
79 7.9951286315918 ms	
80 7.936954498291 ms	
81 8.0230236053467 ms	
82 7.9600811004639 ms	
83 7.9500675201416 ms	
84 7.9832077026367 ms	
85 8.0089569091797 ms	
86 8.0051422119141 ms	
87 7.9431533813477 ms	
88 7.951021194458 ms	
89 7.9469680786133 ms	
90 7.9929828643799 ms	
91 7.9669952392578 ms	
92 7.9350471496582 ms	
93 8.0349445343018 ms	
94 7.9598426818848 ms	
95 7.9679489135742 ms	
96 7.969856262207 ms	
97 7.9789161682129 ms	
