batchsize,util_gpu_pwr,total_gpu_pwr,gpu_util,gpu_memory_size,gpu_used_memory,gpu_free_memory
1024,153,149,100,12205,5174,7320
128,150,149,100,12205,3186,9070
16,137,149,100,12205,2937,9289
1,142,149,100,12205,2904,9318
2048,154,149,100,12205,7446,5320
256,150,149,100,12205,3470,8820
32,138,149,100,12205,2972,9258
4096,154,149,100,12205,11992,1318
512,153,149,100,12205,4038,8320
64,141,149,100,12205,3044,9195
