batchsize,util_gpu_pwr,total_gpu_pwr,gpu_util,gpu_memory_size,gpu_used_memory_gpu_free_memory
1024,92,250,86,5,12205,5076
128,82,250,82,5,12205,3304
16,79,250,26,5,12205,3063
1,119,250,91,6,12205,3031
2048,122,250,91,5,12205,7092
256,90,250,91,5,12205,3580
32,80,250,36,6,12205,3097
4096,103,250,48,5,12205,11156
512,128,250,71,5,12205,4068
64,87,250,89,5,12205,3166
