batchsize,util_gpu_pwr,total_gpu_pwr,gpu_util,gpu_memory_size,gpu_used_memory_gpu_free_memory
1024,81,250,10,0,12205,514
128,70,250,18,1,12205,502
16384,76,250,18,1,12205,692
16,70,250,9,0,12205,501
1,70,250,9,0,12205,502
2048,93,250,12,0,12205,525
256,70,250,9,0,12205,505
32,71,250,11,0,12205,501
4096,70,250,8,0,12205,550
512,70,250,15,1,12205,507
64,70,250,11,0,12205,502
8192,94,250,13,0,12205,597
