batchsize,util_gpu_pwr,total_gpu_pwr,gpu_util,gpu_memory_size,gpu_used_memory_gpu_free_memory
1024,59,149,15,0,12205,273
128,59,149,10,0,12205,241
16384,61,149,27,1,12205,814
16,59,149,9,0,12205,237
1,59,149,8,0,12205,237
2048,64,149,10,0,12205,309
256,59,149,8,0,12205,246
32,59,149,10,0,12205,238
4096,60,149,8,0,12205,381
512,59,149,9,0,12205,255
64,59,149,10,0,12205,239
8192,65,149,11,0,12205,525
