***mlp_l4_iter_test Benchmarking***
Usage ./run_gpu_mlp_l4_iter_test.sh <typeofgpu> --> e.g: ./run_gpu_mlp_l4_iter_test.sh geforce_gtx_maxwell
**batch size 1**
[?1034h****GPU Data****	
126.30701065063 ms	
0.14305114746094 ms	
0.1218318939209 ms	
0.12087821960449 ms	
0.1220703125 ms	
0.12087821960449 ms	
0.1678466796875 ms	
0.12111663818359 ms	
0.12803077697754 ms	
0.12087821960449 ms	
0.12302398681641 ms	
0.11992454528809 ms	
0.11992454528809 ms	
0.16403198242188 ms	
0.11897087097168 ms	
0.12397766113281 ms	
0.11897087097168 ms	
0.13589859008789 ms	
0.11992454528809 ms	
0.13399124145508 ms	
0.12016296386719 ms	
0.12016296386719 ms	
0.12588500976562 ms	
0.11420249938965 ms	
0.11491775512695 ms	
0.14209747314453 ms	
0.13303756713867 ms	
0.14185905456543 ms	
0.14781951904297 ms	
0.12493133544922 ms	
0.11587142944336 ms	
0.11587142944336 ms	
0.13995170593262 ms	
0.11587142944336 ms	
0.11491775512695 ms	
0.11706352233887 ms	
0.11897087097168 ms	
0.11897087097168 ms	
0.11777877807617 ms	
0.16593933105469 ms	
0.12016296386719 ms	
0.11706352233887 ms	
0.12016296386719 ms	
0.11587142944336 ms	
0.13589859008789 ms	
0.11897087097168 ms	
0.11515617370605 ms	
0.12302398681641 ms	
0.1380443572998 ms	
0.11801719665527 ms	
0.12087821960449 ms	
0.12397766113281 ms	
0.12803077697754 ms	
0.12087821960449 ms	
0.11706352233887 ms	
0.12898445129395 ms	
0.11897087097168 ms	
0.11897087097168 ms	
0.13399124145508 ms	
0.1227855682373 ms	
0.38814544677734 ms	
0.1380443572998 ms	
0.12993812561035 ms	
0.12803077697754 ms	
0.11610984802246 ms	
0.12803077697754 ms	
0.12302398681641 ms	
0.1227855682373 ms	
0.11610984802246 ms	
0.12087821960449 ms	
0.12397766113281 ms	
0.12421607971191 ms	
0.12397766113281 ms	
0.12516975402832 ms	
0.12803077697754 ms	
0.14901161193848 ms	
0.12493133544922 ms	
0.11706352233887 ms	
0.13399124145508 ms	
0.12302398681641 ms	
0.11396408081055 ms	
0.12302398681641 ms	
0.12898445129395 ms	
0.12111663818359 ms	
0.12803077697754 ms	
0.12993812561035 ms	
0.11396408081055 ms	
0.12588500976562 ms	
0.12397766113281 ms	
0.11897087097168 ms	
0.12683868408203 ms	
0.12397766113281 ms	
0.12397766113281 ms	
0.13399124145508 ms	
0.12397766113281 ms	
0.12016296386719 ms	
0.12993812561035 ms	
0.13208389282227 ms	
0.11801719665527 ms	
0.12993812561035 ms	
**batch size 16**
[?1034h****GPU Data****	
126.21998786926 ms	
0.14686584472656 ms	
0.12707710266113 ms	
0.12803077697754 ms	
0.19407272338867 ms	
0.12803077697754 ms	
0.15377998352051 ms	
0.13613700866699 ms	
0.12588500976562 ms	
0.12302398681641 ms	
0.11920928955078 ms	
0.1218318939209 ms	
0.12397766113281 ms	
0.12087821960449 ms	
0.12612342834473 ms	
0.12302398681641 ms	
0.12397766113281 ms	
0.1227855682373 ms	
0.11897087097168 ms	
0.12087821960449 ms	
0.12302398681641 ms	
0.12993812561035 ms	
0.13113021850586 ms	
0.12087821960449 ms	
0.12302398681641 ms	
0.14805793762207 ms	
0.13899803161621 ms	
0.12397766113281 ms	
0.13184547424316 ms	
0.13303756713867 ms	
0.14901161193848 ms	
0.1220703125 ms	
0.13494491577148 ms	
0.12111663818359 ms	
0.12922286987305 ms	
0.12707710266113 ms	
0.1370906829834 ms	
0.12779235839844 ms	
0.13399124145508 ms	
0.12397766113281 ms	
0.1220703125 ms	
0.12302398681641 ms	
0.13089179992676 ms	
0.1368522644043 ms	
0.12397766113281 ms	
0.11897087097168 ms	
0.12087821960449 ms	
0.13113021850586 ms	
0.12898445129395 ms	
0.13089179992676 ms	
0.13518333435059 ms	
0.16403198242188 ms	
0.12898445129395 ms	
0.12111663818359 ms	
0.12779235839844 ms	
0.13589859008789 ms	
0.12993812561035 ms	
0.12302398681641 ms	
0.12683868408203 ms	
0.12302398681641 ms	
0.12993812561035 ms	
0.12397766113281 ms	
0.12898445129395 ms	
0.13399124145508 ms	
0.12516975402832 ms	
0.12683868408203 ms	
0.13303756713867 ms	
0.12397766113281 ms	
0.12993812561035 ms	
0.13399124145508 ms	
0.12993812561035 ms	
0.13184547424316 ms	
0.12683868408203 ms	
0.12493133544922 ms	
0.13518333435059 ms	
0.12397766113281 ms	
0.13899803161621 ms	
0.13113021850586 ms	
0.12803077697754 ms	
0.13208389282227 ms	
0.13399124145508 ms	
0.12397766113281 ms	
0.14901161193848 ms	
0.1370906829834 ms	
0.13589859008789 ms	
0.12588500976562 ms	
0.13518333435059 ms	
0.13303756713867 ms	
0.12898445129395 ms	
0.12612342834473 ms	
0.14495849609375 ms	
0.12898445129395 ms	
0.1380443572998 ms	
0.12803077697754 ms	
0.12898445129395 ms	
0.1368522644043 ms	
0.12803077697754 ms	
0.13303756713867 ms	
0.1380443572998 ms	
0.12898445129395 ms	
**batch size 32**
[?1034h****GPU Data****	
129.37712669373 ms	
0.14901161193848 ms	
0.14185905456543 ms	
0.18095970153809 ms	
0.14710426330566 ms	
0.14209747314453 ms	
0.17404556274414 ms	
0.14400482177734 ms	
0.18501281738281 ms	
0.14305114746094 ms	
0.15401840209961 ms	
0.13399124145508 ms	
0.17690658569336 ms	
0.14305114746094 ms	
0.14495849609375 ms	
0.13208389282227 ms	
0.13899803161621 ms	
0.13613700866699 ms	
0.13494491577148 ms	
0.13303756713867 ms	
