batchsize,util_gpu_pwr,total_gpu_pwr,gpu_util,gpu_memory_size,gpu_used_memory,gpu_free_memory
1024,164,250,97,16276,5685,14173
128,82,250,93,16276,1599,15185
16,78,250,92,16276,1071,15313
1,82,250,90,16276,1001,15331
2048,189,250,98,16276,10353,13013
256,98,250,94,16276,2179,15043
32,74,250,93,16276,1147,15295
512,127,250,94,16276,3351,14753
64,74,250,93,16276,1295,15259
