batchsize,util_gpu_pwr,total_gpu_pwr,gpu_util,gpu_memory_size,gpu_used_memory,gpu_free_memory
1024,147,149,100,12205,450,11836
128,137,149,100,12205,383,11847
16384,154,149,100,12205,1591,11784
16,91,149,78,12205,375,11848
1,73,149,20,12205,374,11848
2048,149,149,100,12205,526,11824
256,142,149,100,12205,393,11845
32,113,149,100,12205,376,11848
4096,149,149,100,12205,678,11800
512,145,149,100,12205,412,11842
64,124,149,58,12205,379,11848
8192,158,149,100,12205,982,11752
