***Alexnet Benchmarking***
Usage ./run_gpu_alexnet_iter_test.sh <typeofgpu> --> e.g: ./run_gpu_alexnet_iter_test.sh geforce_gtx_maxwell
**batch size 1**
[?1034h****GPU Data****	
131.97588920593 ms	
0.75697898864746 ms	
0.75006484985352 ms	
0.72002410888672 ms	
0.66685676574707 ms	
0.66113471984863 ms	
0.74505805969238 ms	
0.640869140625 ms	
0.640869140625 ms	
0.64802169799805 ms	
0.6871223449707 ms	
0.63586235046387 ms	
0.66494941711426 ms	
0.66494941711426 ms	
0.66304206848145 ms	
0.701904296875 ms	
0.68902969360352 ms	
0.6859302520752 ms	
0.77104568481445 ms	
0.75292587280273 ms	
0.75984001159668 ms	
4.0538311004639 ms	
5.2618980407715 ms	
5.2649974822998 ms	
5.2528381347656 ms	
5.2568912506104 ms	
5.2618980407715 ms	
5.2700042724609 ms	
5.2781105041504 ms	
5.267858505249 ms	
5.2638053894043 ms	
5.2709579467773 ms	
5.2549839019775 ms	
5.2518844604492 ms	
5.2471160888672 ms	
5.2471160888672 ms	
5.2649974822998 ms	
5.2528381347656 ms	
5.2559375762939 ms	
5.2518844604492 ms	
5.2540302276611 ms	
5.2571296691895 ms	
5.2390098571777 ms	
5.2618980407715 ms	
5.2590370178223 ms	
5.2590370178223 ms	
5.263090133667 ms	
5.2731037139893 ms	
5.2580833435059 ms	
5.2571296691895 ms	
5.2580833435059 ms	
5.2611827850342 ms	
5.2671432495117 ms	
4.7390460968018 ms	
4.7271251678467 ms	
4.7159194946289 ms	
4.7378540039062 ms	
4.7318935394287 ms	
4.7268867492676 ms	
4.7240257263184 ms	
4.7540664672852 ms	
4.734992980957 ms	
4.7440528869629 ms	
4.7261714935303 ms	
4.7399997711182 ms	
4.7328472137451 ms	
4.7330856323242 ms	
4.7440528869629 ms	
4.7459602355957 ms	
4.7438144683838 ms	
4.7352313995361 ms	
4.7338008880615 ms	
4.7428607940674 ms	
4.7330856323242 ms	
4.7340393066406 ms	
4.7378540039062 ms	
4.7371387481689 ms	
4.7409534454346 ms	
4.7249794006348 ms	
4.7450065612793 ms	
4.734992980957 ms	
4.7359466552734 ms	
4.755973815918 ms	
4.741907119751 ms	
4.7409534454346 ms	
4.7390460968018 ms	
4.741907119751 ms	
4.7369003295898 ms	
4.4450759887695 ms	
4.3430328369141 ms	
4.3468475341797 ms	
4.3408870697021 ms	
4.3349266052246 ms	
4.3439865112305 ms	
4.3380260467529 ms	
4.3339729309082 ms	
4.3411254882812 ms	
4.3380260467529 ms	
4.3389797210693 ms	
4.3330192565918 ms	
**batch size 16**
[?1034h****GPU Data****	
151.91793441772 ms	
3.2291412353516 ms	
23.942947387695 ms	
39.331912994385 ms	
40.913105010986 ms	
40.273904800415 ms	
39.286136627197 ms	
39.196014404297 ms	
39.268016815186 ms	
39.351940155029 ms	
39.271831512451 ms	
39.304971694946 ms	
