***mlp_l5_iter_test Benchmarking***
Usage ./run_gpu_mlp_l5_iter_test.sh <typeofgpu> --> e.g: ./run_gpu_mlp_l5_iter_test.sh geforce_gtx_maxwell
**batch size 1**
****GPU Data (iter,time)****	
1 328.6828994751 ms	
2 0.23603439331055 ms	
3 0.27990341186523 ms	
4 0.22506713867188 ms	
5 0.27799606323242 ms	
6 0.21696090698242 ms	
7 0.21505355834961 ms	
8 0.20194053649902 ms	
9 0.20599365234375 ms	
10 0.20790100097656 ms	
11 0.21791458129883 ms	
12 0.20694732666016 ms	
13 0.1981258392334 ms	
14 0.20503997802734 ms	
15 0.21195411682129 ms	
16 0.22387504577637 ms	
17 0.20480155944824 ms	
18 0.2281665802002 ms	
19 0.22387504577637 ms	
20 0.20790100097656 ms	
21 0.21100044250488 ms	
22 0.19097328186035 ms	
23 0.23794174194336 ms	
24 0.51498413085938 ms	
25 0.23889541625977 ms	
26 0.19192695617676 ms	
27 0.22411346435547 ms	
28 0.2140998840332 ms	
29 0.21886825561523 ms	
30 0.19097328186035 ms	
31 0.21791458129883 ms	
32 0.19502639770508 ms	
33 0.21505355834961 ms	
34 0.20813941955566 ms	
35 0.18811225891113 ms	
36 0.18715858459473 ms	
37 0.20885467529297 ms	
38 0.1990795135498 ms	
39 0.21100044250488 ms	
40 0.20909309387207 ms	
41 0.19598007202148 ms	
42 0.20217895507812 ms	
43 0.21004676818848 ms	
44 0.20599365234375 ms	
45 0.20289421081543 ms	
46 0.1990795135498 ms	
47 0.2138614654541 ms	
48 0.24604797363281 ms	
49 0.22006034851074 ms	
50 0.20480155944824 ms	
51 0.20289421081543 ms	
52 0.20909309387207 ms	
53 0.18811225891113 ms	
54 0.20313262939453 ms	
55 0.2131462097168 ms	
56 0.20003318786621 ms	
57 0.22602081298828 ms	
58 0.21505355834961 ms	
59 0.18405914306641 ms	
60 0.19097328186035 ms	
61 0.20885467529297 ms	
62 0.19693374633789 ms	
63 0.20503997802734 ms	
64 0.1990795135498 ms	
65 0.19001960754395 ms	
66 0.20313262939453 ms	
67 0.19216537475586 ms	
68 0.19502639770508 ms	
69 0.18405914306641 ms	
70 0.20384788513184 ms	
71 0.20313262939453 ms	
72 0.19717216491699 ms	
73 0.18692016601562 ms	
74 0.19311904907227 ms	
75 0.21100044250488 ms	
76 0.19097328186035 ms	
77 0.19001960754395 ms	
78 0.18811225891113 ms	
