batchsize,util_gpu_pwr,total_gpu_pwr,gpu_util,gpu_memory_size,gpu_used_memory_gpu_free_memory
1024,69,149,10,0,12205,369
128,61,149,12,1,12205,358
16384,60,149,10,0,12205,421
16,60,149,10,0,12205,357
1,60,149,9,0,12205,357
2048,62,149,12,0,12205,381
256,62,149,12,1,12205,360
32,60,149,9,0,12205,357
4096,71,149,11,0,12205,405
512,65,149,20,1,12205,363
64,61,149,12,0,12205,357
8192,60,149,9,0,12205,453
