batchsize,util_gpu_pwr,total_gpu_pwr,gpu_util,gpu_memory_size,gpu_used_memory,gpu_free_memory
1024,74,75,100,7606,5603,2359
128,71,75,100,7606,3569,4107
16,63,75,100,7606,3315,4327
1,51,75,100,7606,3281,4357
256,73,75,100,7606,3859,3859
32,65,75,100,7606,3351,4295
512,74,75,100,7606,4441,3359
64,73,75,100,7606,3425,4233
