batchsize,util_gpu_pwr,total_gpu_pwr,gpu_util,gpu_memory_size,gpu_used_memory,gpu_free_memory
1024,154,149,100,12205,5482,7064
128,150,149,100,12205,3448,8814
16,135,149,100,12205,3194,9033
1,139,149,100,12205,3161,9062
2048,155,149,100,12205,7806,5464
256,151,149,100,12205,3739,8564
32,136,149,100,12205,3230,9002
3800,154,149,100,12205,11784,12205
512,153,149,100,12205,4320,8064
64,140,149,100,12205,3303,8940
