batchsize,util_gpu_pwr,total_gpu_pwr,gpu_util,gpu_memory_size,gpu_used_memory,gpu_free_memory
1024,193,250,99,16276,739,15633
128,134,250,34,16276,673,15645
16384,220,250,100,16276,1879,15453
16,120,250,18,16276,663,15645
1,87,250,18,16276,663,15645
2048,207,250,99,16276,815,15621
256,161,250,40,16276,683,15643
32,87,250,53,16276,665,15645
4096,210,250,100,16276,967,15597
512,177,250,98,16276,701,15639
64,114,250,14,16276,667,15645
8192,213,250,100,16276,1271,15549
