batchsize,util_gpu_pwr,total_gpu_pwr,gpu_util,gpu_memory_size,gpu_used_memory,gpu_free_memory
1024,134,149,100,12205,290,11932
128,76,149,14,12205,258,11964
16384,150,149,100,12205,831,11391
16,71,149,27,12205,254,11968
1,59,149,10,12205,254,11968
2048,132,149,100,12205,326,11896
256,88,149,37,12205,263,11959
32,71,149,10,12205,255,11967
4096,148,149,100,12205,398,11824
512,120,149,64,12205,272,11950
64,66,149,14,12205,256,11966
8192,148,149,100,12205,542,11680
