batchsize,util_gpu_pwr,total_gpu_pwr,gpu_util,gpu_memory_size,gpu_used_memory,gpu_free_memory
128,130,149,100,12205,3007,10028
16,127,149,100,12205,1397,10921
1,117,149,100,12205,1181,11046
256,132,149,98,12205,4848,9002
32,127,149,100,12205,1627,10761
512,139,149,99,12205,8531,6949
64,129,149,100,12205,2088,10516
750,143,149,99,12205,11956,5040
