power.limit [W], power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
250.00, 85.90, 82, 5, 12205, 3347, 8858
250.00, 230.84, 99, 60, 12205, 4991, 7214
250.00, 233.88, 99, 60, 12205, 4991, 7214
250.00, 233.28, 99, 61, 12205, 4991, 7214
250.00, 232.10, 99, 61, 12205, 4991, 7214
250.00, 233.16, 100, 62, 12205, 4991, 7214
250.00, 234.92, 99, 61, 12205, 4991, 7214
250.00, 236.03, 99, 60, 12205, 4991, 7214
250.00, 235.27, 99, 60, 12205, 4991, 7214
250.00, 234.30, 99, 61, 12205, 4991, 7214
250.00, 234.73, 100, 62, 12205, 4991, 7214
250.00, 235.27, 100, 61, 12205, 4991, 7214
250.00, 237.07, 99, 60, 12205, 4991, 7214
250.00, 236.52, 99, 60, 12205, 4991, 7214
250.00, 228.18, 99, 59, 12205, 4991, 7214
250.00, 226.84, 100, 60, 12205, 4991, 7214
250.00, 228.50, 100, 60, 12205, 4991, 7214
250.00, 230.22, 99, 59, 12205, 4991, 7214
250.00, 229.86, 99, 59, 12205, 4991, 7214
250.00, 228.77, 99, 60, 12205, 4991, 7214
250.00, 228.66, 100, 61, 12205, 4991, 7214
250.00, 230.20, 99, 59, 12205, 4991, 7214
250.00, 231.12, 99, 59, 12205, 4991, 7214
250.00, 230.38, 99, 59, 12205, 4991, 7214
250.00, 229.07, 100, 60, 12205, 4991, 7214
250.00, 230.03, 100, 60, 12205, 4991, 7214
250.00, 232.04, 99, 59, 12205, 4991, 7214
250.00, 232.42, 99, 59, 12205, 4991, 7214
