batchsize,util_gpu_pwr,total_gpu_pwr,gpu_util,gpu_memory_size,gpu_used_memory_gpu_free_memory
1024,120,149,21,4,12205,1253
128,89,149,9,0,12205,735
16,60,149,18,1,12205,683
1,60,149,12,1,12205,667
2048,121,149,37,2,12205,1845
256,110,149,23,1,12205,955
32,69,149,10,0,12205,701
512,113,149,8,0,12205,957
64,74,149,14,0,12205,737
