batchsize,util_gpu_pwr,total_gpu_pwr,gpu_util,gpu_memory_size,gpu_used_memory_gpu_free_memory
1024,72,250,9,0,12205,418
128,69,250,10,0,12205,386
16384,70,250,8,0,12205,959
16,69,250,8,0,12205,382
1,69,250,9,0,12205,382
1,69,250,10,0,12205,381
2048,69,250,9,0,12205,453
256,69,250,10,0,12205,391
32,69,250,10,0,12205,383
4096,70,250,9,0,12205,526
512,70,250,10,0,12205,400
64,69,250,11,0,12205,383
8192,70,250,8,0,12205,669
