batchsize,util_gpu_pwr,total_gpu_pwr,gpu_util,gpu_memory_size,gpu_used_memory,gpu_free_memory
1024,189,250,100,16276,6044,10861
128,156,250,100,16276,3737,12611
16,172,250,100,16276,3483,12829
1,147,250,98,16276,3449,12859
2048,197,250,100,16276,8368,8861
256,176,250,100,16276,4027,12361
32,172,250,99,16276,3519,12799
3800,196,250,100,16276,12089,6179
512,184,250,100,16276,4609,11861
64,218,250,99,16276,3593,12735
