batchsize,util_gpu_pwr,total_gpu_pwr,gpu_util,gpu_memory_size,gpu_used_memory_gpu_free_memory
1024,152,149,43,5,12205,5141
128,143,149,33,3,12205,3391
16,132,149,20,1,12205,3172
1,104,149,44,2,12205,3143
2048,154,149,33,4,12205,6741
256,146,149,17,2,12205,3641
32,132,149,42,2,12205,3203
3800,154,149,28,5,12205,9823
512,150,149,25,3,12205,4141
64,136,149,42,3,12205,3265
