batchsize,util_gpu_pwr,total_gpu_pwr,gpu_util,gpu_memory_size,gpu_used_memory,gpu_free_memory
1024,69,75,100,7606,571,7129
128,52,75,69,7606,505,7141
16384,75,75,100,7606,1711,6951
16,52,75,22,7606,495,7141
1,44,75,22,7606,495,7141
2048,69,75,100,7606,647,7119
256,57,75,100,7606,515,7141
32,53,75,22,7606,497,7141
4096,71,75,100,7606,799,7095
512,69,75,100,7606,533,7137
64,47,75,59,7606,499,7143
8192,71,75,100,7606,1103,7045
