batchsize,util_gpu_pwr,total_gpu_pwr,gpu_util,gpu_memory_size,gpu_used_memory_gpu_free_memory
1024,148,149,32,4,12205,4885
128,64,149,59,3,12205,3135
16,63,149,30,1,12205,2916
1,62,149,80,4,12205,2887
2048,152,149,10,2,12205,6885
256,81,149,35,4,12205,3385
32,74,149,26,1,12205,2947
4096,154,149,27,4,12205,10887
512,121,149,49,3,12205,3885
64,91,149,17,4,12205,3010
