batchsize,util_gpu_pwr,total_gpu_pwr,gpu_util,gpu_memory_size,gpu_used_memory,gpu_free_memory
1024,203,250,12,12205,433,11787
128,90,250,12,12205,401,11819
16384,272,250,100,12205,974,11247
16,108,250,11,12205,397,11823
1,89,250,24,12205,397,11823
2048,247,250,100,12205,469,11752
256,90,250,9,12205,406,11814
32,90,250,9,12205,398,11822
4096,266,250,100,12205,541,11679
512,195,250,11,12205,415,11806
64,124,250,13,12205,399,11821
8192,268,250,100,12205,685,11536
