batchsize,util_gpu_pwr,total_gpu_pwr,gpu_util,gpu_memory_size,gpu_used_memory,gpu_free_memory
1024,199,250,99,12205,5518,10237
128,169,250,95,12205,1429,11251
16,161,250,95,12205,917,11377
1,158,250,96,12205,846,11393
2048,223,250,100,12205,10192,9078
256,175,250,96,12205,2012,11105
32,160,250,95,12205,991,11358
512,188,250,96,12205,3180,10816
64,159,250,95,12205,1136,11323
