batchsize,util_gpu_pwr,total_gpu_pwr,gpu_util,gpu_memory_size,gpu_used_memory,gpu_free_memory
128,117,250,96,16276,3299,13667
16,160,250,94,16276,1709,14695
1,102,250,88,16276,1471,14841
256,140,250,97,16276,5141,12795
32,98,250,96,16276,1943,14545
512,156,250,98,16276,8827,10741
64,103,250,96,16276,2387,14253
750,168,250,99,16276,12301,8829
