batchsize,util_gpu_pwr,total_gpu_pwr,gpu_util,gpu_memory_size,gpu_used_memory,gpu_free_memory
1024,56,75,75,7606,411,7225
128,54,75,13,7606,379,7257
16384,74,75,100,7606,951,6685
16,40,75,11,7606,375,7261
1,38,75,9,7606,375,7263
2048,64,75,100,7606,447,7191
256,53,75,15,7606,383,7255
32,42,75,12,7606,375,7261
4096,68,75,100,7606,519,7117
512,56,75,14,7606,393,7243
64,44,75,13,7606,377,7261
8192,72,75,100,7606,663,6973
