batchsize,util_gpu_pwr,total_gpu_pwr,gpu_util,gpu_memory_size,gpu_used_memory,gpu_free_memory
128,243,250,99,12205,3151,9734
16,188,250,100,12205,1540,10765
1,190,250,100,12205,1325,10901
256,242,250,100,12205,4991,8859
32,191,250,100,12205,1770,10617
512,245,250,100,12205,8672,6806
64,202,250,99,12205,2231,10323
750,250,250,100,12205,12098,4897
